descripcion,categoria,monto,descripcion_limpia
cebolla,Alimentación,50.00,cebolla
papa,Alimentación,70.00,papa
carne de res,Alimentación,300.00,carne de res
pollo,Alimentación,200.00,pollo
pescado,Alimentación,250.00,pescado
arroz,Alimentación,100.00,arroz
frijoles,Alimentación,80.00,frijoles
aceite,Alimentación,90.00,aceite
sal,Alimentación,30.00,sal
azucar,Alimentación,60.00,azucar
cafe,Alimentación,120.00,cafe
te,Alimentación,80.00,te
cereal,Alimentación,110.00,cereal
yogurt,Alimentación,90.00,yogurt
queso,Alimentación,150.00,queso
jamon,Alimentación,130.00,jamon
mantequilla,Alimentación,100.00,mantequilla
huevo,Alimentación,85.00,huevo
kilo de huevos,Alimentación,110.00,kilo de huevos
compra basica,Alimentación,200.00,compra basica
super basico,Alimentación,180.00,super basico
despensa,Alimentación,550.50,despensa
despensa basica,Alimentación,620.00,despensa basica
quesadilla,Alimentación,719.42,quesadilla
*quesadilla*,Alimentación,722.07,quesadilla
*quesadilla*,Alimentación,730.12,quesadilla
Despensa,Alimentación,1500.00,despensa
compra de despensa,Alimentación,1400.00,compra de despensa
pago de despensa,Alimentación,1300.00,pago de despensa
despensa familiar,Alimentación,1600.00,despensa familiar
despensa quincenal,Alimentación,1800.00,despensa quincenal
supermercado,Alimentación,1200.00,supermercado
pago de supermercado,Alimentación,1100.00,pago de supermercado
compra en supermercado,Alimentación,1250.00,compra en supermercado
super,Alimentación,800.00,super
compra en el super,Alimentación,750.00,compra en el super
mercado,Alimentación,900.00,mercado
compra en el mercado,Alimentación,850.00,compra en el mercado
pago de mercado,Alimentación,820.00,pago de mercado
mercado de barrio,Alimentación,700.00,mercado de barrio
compra de comida,Alimentación,600.00,compra de comida
comida,Alimentación,500.00,comida
pago de comida,Alimentación,550.00,pago de comida
restaurante,Alimentación,400.00,restaurante
pago en restaurante,Alimentación,450.00,pago en restaurante
comida en restaurante,Alimentación,380.00,comida en restaurante
comida rapida,Alimentación,200.00,comida rapida
huevo,Alimentación,80.00,huevo
huevos,Alimentación,90.00,huevos
compra de huevos,Alimentación,100.00,compra de huevos
leche,Alimentación,70.00,leche
compra de leche,Alimentación,80.00,compra de leche
pan,Alimentación,50.00,pan
compra de pan,Alimentación,60.00,compra de pan
carniceria,Alimentación,500.00,carniceria
compra de carne,Alimentación,400.00,compra de carne
pollo,Alimentación,250.00,pollo
pescado,Alimentación,350.00,pescado
fruta,Alimentación,150.00,fruta
compra de fruta,Alimentación,140.00,compra de fruta
verdura,Alimentación,130.00,verdura
compra de verdura,Alimentación,120.00,compra de verdura
abarrotes,Alimentación,200.00,abarrotes
tienda de abarrotes,Alimentación,180.00,tienda de abarrotes
abarrote,Alimentación,160.00,abarrote
despensa basica,Alimentación,1000.00,despensa basica
despensa completa,Alimentación,2000.00,despensa completa
despensa mensual,Alimentación,2200.00,despensa mensual
chucherias,Alimentación,150.00,chucherias
chucheria,Alimentación,120.00,chucheria
postre,Alimentación,200.00,postre
postres,Alimentación,180.00,postres
compra de postres,Alimentación,220.00,compra de postres
postre de chocolate,Alimentación,250.00,postre de chocolate
pay,Alimentación,180.00,pay
pastel,Alimentación,300.00,pastel
pastel de cumpleanos,Alimentación,350.00,pastel de cumpleanos
galletas,Alimentación,120.00,galletas
compra de galletas,Alimentación,140.00,compra de galletas
Sabritas,Alimentación,80.00,sabritas
sabritas,Alimentación,75.00,sabritas
papas Sabritas,Alimentación,85.00,papas sabritas
papas fritas,Alimentación,70.00,papas fritas
botanas,Alimentación,100.00,botanas
compra de botanas,Alimentación,110.00,compra de botanas
botana,Alimentación,90.00,botana
chips,Alimentación,80.00,chips
papitas,Alimentación,70.00,papitas
dulces,Alimentación,150.00,dulces
compra de dulces,Alimentación,140.00,compra de dulces
caramelos,Alimentación,120.00,caramelos
chocolate,Alimentación,180.00,chocolate
comida a domicilio,Alimentación,350.00,comida a domicilio
pedido de comida,Alimentación,300.00,pedido de comida
delivery de comida,Alimentación,280.00,delivery de comida
Uber eats,Alimentación,320.00,uber eats
Didifood,Alimentación,290.00,didifood
compra quesadilla,Alimentación,220.95,compra quesadilla
pago con tarjeta en quesadilla,Alimentación,663.51,pago con tarjeta en quesadilla
pago con tarjeta en tacos,Alimentación,278.59,pago con tarjeta en tacos
$tacos,Alimentación,433.06,tacos
pago con tarjeta en tacos,Alimentación,413.62,pago con tarjeta en tacos
compra tacos,Alimentación,139.9,compra tacos
COMPRA EN TACOS,Alimentación,757.18,compra en tacos
$mariscos,Alimentación,214.07,mariscos
COMPRA EN MARISCOS,Alimentación,577.26,compra en mariscos
compra mariscos,Alimentación,98.67,compra mariscos
mariscos,Alimentación,235.16,mariscos
*mariscos*,Alimentación,422.94,mariscos
compra OXXO,Alimentación,161.07,compra oxxo
COMPRA EN OXXO,Alimentación,77.67,compra en oxxo
compra OXXO,Alimentación,782.46,compra oxxo
$OXXO,Alimentación,74.79,oxxo
compra OXXO,Alimentación,525.76,compra oxxo
pago 7-Eleven,Alimentación,448.2,pago 7 eleven
$7-Eleven,Alimentación,231.54,7 eleven
7-eleven,Alimentación,110.64,7 eleven
COMPRA EN 7-ELEVEN,Alimentación,228.23,compra en 7 eleven
$7-Eleven,Alimentación,325.84,7 eleven
abarrotes,Alimentación,787.57,abarrotes
$abarrotes,Alimentación,451.83,abarrotes
compra abarrotes,Alimentación,163.04,compra abarrotes
$abarrotes,Alimentación,571.86,abarrotes
ABARROTES,Alimentación,493.17,abarrotes
mercado,Alimentación,62.44,mercado
MERCADO,Alimentación,657.13,mercado
mercado,Alimentación,533.88,mercado
mercado,Alimentación,755.39,mercado
COMPRA EN MERCADO,Alimentación,340.05,compra en mercado
pago tiendita,Alimentación,678.28,pago tiendita
pago con tarjeta en tiendita,Alimentación,135.11,pago con tarjeta en tiendita
*tiendita*,Alimentación,456.09,tiendita
TIENDITA,Alimentación,221.41,tiendita
pago con tarjeta en tiendita,Alimentación,437.48,pago con tarjeta en tiendita
compra comida corrida,Alimentación,231.39,compra comida corrida
Comida Corrida,Alimentación,725.31,comida corrida
*comida corrida*,Alimentación,304.27,comida corrida
COMIDA CORRIDA,Alimentación,575.27,comida corrida
COMIDA CORRIDA,Alimentación,692.24,comida corrida
$loncheria,Alimentación,634.91,loncheria
COMPRA EN LONCHERIA,Alimentación,688.2,compra en loncheria
compra loncheria,Alimentación,171.22,compra loncheria
$loncheria,Alimentación,551.74,loncheria
LONCHERIA,Alimentación,329.21,loncheria
pago con tarjeta en neveria,Alimentación,547.63,pago con tarjeta en neveria
pago neveria,Alimentación,170.61,pago neveria
pago neveria,Alimentación,414.21,pago neveria
NEVERIA,Alimentación,538.97,neveria
pago con tarjeta en neveria,Alimentación,181.94,pago con tarjeta en neveria
jugueria,Alimentación,227.94,jugueria
Jugueria,Alimentación,184.12,jugueria
COMPRA EN JUGUERIA,Alimentación,537.22,compra en jugueria
*jugueria*,Alimentación,590.7,jugueria
compra jugueria,Alimentación,456.91,compra jugueria
COSTCO,Alimentación,527.25,costco
$Costco,Alimentación,232.99,costco
$Costco,Alimentación,784.17,costco
COSTCO,Alimentación,719.03,costco
pago Costco,Alimentación,312.56,pago costco
compra Sams Club,Alimentación,482.68,compra sams club
compra Sams Club,Alimentación,196.43,compra sams club
SAMS CLUB,Alimentación,479.0,sams club
compra Sams Club,Alimentación,82.7,compra sams club
Sams Club,Alimentación,712.62,sams club
pago con tarjeta en City Market,Alimentación,764.8,pago con tarjeta en city market
compra City Market,Alimentación,464.57,compra city market
CITY MARKET,Alimentación,785.25,city market
city market,Alimentación,270.84,city market
City Market,Alimentación,193.18,city market
compra Fresko,Alimentación,287.69,compra fresko
pago Fresko,Alimentación,467.6,pago fresko
$Fresko,Alimentación,572.02,fresko
COMPRA EN FRESKO,Alimentación,102.81,compra en fresko
pago Fresko,Alimentación,511.26,pago fresko
$Starbucks,Alimentación,318.99,starbucks
pago Starbucks,Alimentación,291.91,pago starbucks
COMPRA EN STARBUCKS,Alimentación,572.76,compra en starbucks
$Starbucks,Alimentación,319.62,starbucks
*Starbucks*,Alimentación,364.84,starbucks
pago McDonalds,Alimentación,700.3,pago mcdonalds
*McDonalds*,Alimentación,426.14,mcdonalds
mcdonalds,Alimentación,537.47,mcdonalds
MCDONALDS,Alimentación,303.5,mcdonalds
pago McDonalds,Alimentación,120.49,pago mcdonalds
*Burger King*,Alimentación,554.02,burger king
BURGER KING,Alimentación,399.2,burger king
$Burger King,Alimentación,493.12,burger king
$Burger King,Alimentación,237.69,burger king
$Burger King,Alimentación,277.45,burger king
Kfc,Alimentación,441.68,kfc
Kfc,Alimentación,253.66,kfc
Kfc,Alimentación,392.95,kfc
$KFC,Alimentación,88.76,kfc
kfc,Alimentación,358.52,kfc
DOMINO'S,Alimentación,528.07,domino s
domino's,Alimentación,149.56,domino s
pago Domino's,Alimentación,437.23,pago domino s
DOMINO'S,Alimentación,646.39,domino s
DOMINO'S,Alimentación,379.23,domino s
*Little Caesars*,Alimentación,238.15,little caesars
Little Caesars,Alimentación,110.65,little caesars
pago con tarjeta en Little Caesars,Alimentación,566.37,pago con tarjeta en little caesars
compra Little Caesars,Alimentación,179.97,compra little caesars
compra Little Caesars,Alimentación,381.76,compra little caesars
$Uber Eats,Alimentación,585.95,uber eats
COMPRA EN UBER EATS,Alimentación,750.96,compra en uber eats
compra Uber Eats,Alimentación,766.15,compra uber eats
*Uber Eats*,Alimentación,542.83,uber eats
Uber Eats,Alimentación,508.79,uber eats
*Rappi*,Alimentación,85.79,rappi
RAPPI,Alimentación,618.38,rappi
pago con tarjeta en Rappi,Alimentación,306.41,pago con tarjeta en rappi
Rappi,Alimentación,120.62,rappi
rappi,Alimentación,181.5,rappi
Didi Food,Alimentación,405.1,didi food
compra Didi Food,Alimentación,398.51,compra didi food
Didi Food,Alimentación,348.88,didi food
$Didi Food,Alimentación,526.32,didi food
pago Didi Food,Alimentación,245.67,pago didi food
PIZZERIA,Alimentación,427.35,pizzeria
compra pizzeria,Alimentación,454.53,compra pizzeria
pizzeria,Alimentación,511.89,pizzeria
*pizzeria*,Alimentación,758.19,pizzeria
pizzeria,Alimentación,481.61,pizzeria
pago cafeteria,Alimentación,480.03,pago cafeteria
compra cafeteria,Alimentación,393.69,compra cafeteria
CAFETERIA,Alimentación,665.48,cafeteria
CAFETERIA,Alimentación,665.32,cafeteria
COMPRA EN CAFETERIA,Alimentación,729.01,compra en cafeteria
pago taqueria,Alimentación,79.22,pago taqueria
pago taqueria,Alimentación,562.26,pago taqueria
compra taqueria,Alimentación,541.79,compra taqueria
pago taqueria,Alimentación,245.52,pago taqueria
*taqueria*,Alimentación,138.62,taqueria
Pasteleria,Alimentación,311.25,pasteleria
COMPRA EN PASTELERIA,Alimentación,601.3,compra en pasteleria
Pasteleria,Alimentación,775.69,pasteleria
pasteleria,Alimentación,183.08,pasteleria
pago con tarjeta en pasteleria,Alimentación,476.39,pago con tarjeta en pasteleria
POLLO FELIZ,Alimentación,792.88,pollo feliz
pollo feliz,Alimentación,329.01,pollo feliz
*Pollo Feliz*,Alimentación,485.41,pollo feliz
*Pollo Feliz*,Alimentación,748.07,pollo feliz
Pollo Feliz,Alimentación,228.95,pollo feliz
*El Globo*,Alimentación,613.15,el globo
pago con tarjeta en El Globo,Alimentación,228.68,pago con tarjeta en el globo
compra El Globo,Alimentación,450.75,compra el globo
el globo,Alimentación,669.84,el globo
$El Globo,Alimentación,273.23,el globo
NUTRISA,Alimentación,341.9,nutrisa
pago con tarjeta en Nutrisa,Alimentación,685.36,pago con tarjeta en nutrisa
pago con tarjeta en Nutrisa,Alimentación,289.49,pago con tarjeta en nutrisa
nutrisa,Alimentación,480.08,nutrisa
Nutrisa,Alimentación,118.78,nutrisa
pago con tarjeta en Cinnabon,Alimentación,465.28,pago con tarjeta en cinnabon
Cinnabon,Alimentación,614.28,cinnabon
*Cinnabon*,Alimentación,635.97,cinnabon
*Cinnabon*,Alimentación,118.4,cinnabon
*Cinnabon*,Alimentación,796.95,cinnabon
Krispy Kreme,Alimentación,602.78,krispy kreme
pago Krispy Kreme,Alimentación,776.49,pago krispy kreme
pago con tarjeta en Krispy Kreme,Alimentación,621.13,pago con tarjeta en krispy kreme
compra Krispy Kreme,Alimentación,125.84,compra krispy kreme
*Krispy Kreme*,Alimentación,369.57,krispy kreme
COMPRA EN TAMALES,Alimentación,104.57,compra en tamales
pago tamales,Alimentación,718.92,pago tamales
pago tamales,Alimentación,111.01,pago tamales
Tamales,Alimentación,224.92,tamales
COMPRA EN TAMALES,Alimentación,330.7,compra en tamales
compra carnitas,Alimentación,710.27,compra carnitas
compra carnitas,Alimentación,760.44,compra carnitas
pago con tarjeta en carnitas,Alimentación,493.92,pago con tarjeta en carnitas
carnitas,Alimentación,332.19,carnitas
CARNITAS,Alimentación,632.86,carnitas
$pasticceria,Alimentación,578.81,pasticceria
PASTICCERIA,Alimentación,133.4,pasticceria
PASTICCERIA,Alimentación,240.26,pasticceria
pago pasticceria,Alimentación,401.5,pago pasticceria
pasticceria,Alimentación,139.11,pasticceria
pago con tarjeta en alitas,Alimentación,608.16,pago con tarjeta en alitas
ALITAS,Alimentación,487.53,alitas
pago con tarjeta en alitas,Alimentación,331.15,pago con tarjeta en alitas
compra alitas,Alimentación,112.17,compra alitas
compra alitas,Alimentación,217.7,compra alitas
$sushi,Alimentación,651.58,sushi
Sushi,Alimentación,82.55,sushi
Sushi,Alimentación,794.72,sushi
Sushi,Alimentación,239.74,sushi
SUSHI,Alimentación,776.98,sushi
pago buffet,Alimentación,174.66,pago buffet
compra buffet,Alimentación,571.81,compra buffet
compra buffet,Alimentación,520.67,compra buffet
$buffet,Alimentación,338.15,buffet
*buffet*,Alimentación,84.08,buffet
COMPRA EN MISCELANEA,Alimentación,345.89,compra en miscelanea
COMPRA EN MISCELANEA,Alimentación,515.1,compra en miscelanea
COMPRA EN MISCELANEA,Alimentación,177.26,compra en miscelanea
miscelanea,Alimentación,397.77,miscelanea
pago miscelanea,Alimentación,249.45,pago miscelanea
Deposito,Alimentación,780.8,deposito
$deposito,Alimentación,74.24,deposito
pago con tarjeta en deposito,Alimentación,282.15,pago con tarjeta en deposito
deposito,Alimentación,502.09,deposito
DEPOSITO,Alimentación,666.9,deposito
pago tienda de conveniencia,Alimentación,362.48,pago tienda de conveniencia
Tienda De Conveniencia,Alimentación,510.06,tienda de conveniencia
pago tienda de conveniencia,Alimentación,112.06,pago tienda de conveniencia
pago tienda de conveniencia,Alimentación,463.69,pago tienda de conveniencia
Tienda De Conveniencia,Alimentación,69.78,tienda de conveniencia
compra Uber,Transporte,393.25,compra uber
pago Uber,Transporte,493.89,pago uber
compra Uber,Transporte,200.83,compra uber
pago con tarjeta en Uber,Transporte,485.56,pago con tarjeta en uber
compra Uber,Transporte,422.4,compra uber
pago Did,Transporte,37.67,pago did
compra Did,Transporte,26.56,compra did
*Did*,Transporte,435.07,did
compra Did,Transporte,276.49,compra did
Did,Transporte,498.39,did
Gasolina,Transporte,300.87,gasolina
Gasolina,Transporte,473.49,gasolina
GASOLINA,Transporte,138.73,gasolina
pago con tarjeta en gasolina,Transporte,82.0,pago con tarjeta en gasolina
GASOLINA,Transporte,151.87,gasolina
magna,Transporte,129.75,magna
compra Magna,Transporte,383.36,compra magna
pago Magna,Transporte,191.92,pago magna
COMPRA EN MAGNA,Transporte,30.65,compra en magna
pago Magna,Transporte,248.58,pago magna
PREMIUM,Transporte,269.68,premium
compra Premium,Transporte,284.92,compra premium
Premium,Transporte,62.44,premium
pago con tarjeta en Premium,Transporte,303.18,pago con tarjeta en premium
*Premium*,Transporte,382.47,premium
Diesel,Transporte,326.89,diesel
DIESEL,Transporte,453.51,diesel
pago Diesel,Transporte,188.28,pago diesel
pago Diesel,Transporte,325.59,pago diesel
DIESEL,Transporte,454.0,diesel
metrobus,Transporte,282.77,metrobus
compra Metrobus,Transporte,396.15,compra metrobus
*Metrobus*,Transporte,271.33,metrobus
compra Metrobus,Transporte,475.77,compra metrobus
metrobus,Transporte,240.49,metrobus
llanta nueva,Transporte,1200.00,llanta nueva
llantas nuevas,Transporte,1300.00,llantas nuevas
compra de llanta,Transporte,1100.00,compra de llanta
cambio de llanta,Transporte,1500.00,cambio de llanta
llanta para carro,Transporte,1400.00,llanta para carro
neumaticos,Transporte,1200.00,neumaticos
chofer,Transporte,500.00,chofer
servicio de chofer,Transporte,450.00,servicio de chofer
chofer particular,Transporte,600.00,chofer particular
conductor,Transporte,400.00,conductor
conductor particular,Transporte,550.00,conductor particular
viaje con chofer,Transporte,480.00,viaje con chofer
auto nuevo,Transporte,20000.00,auto nuevo
compra de auto,Transporte,18000.00,compra de auto
carro nuevo,Transporte,22000.00,carro nuevo
automovil,Transporte,19000.00,automovil
camioneta,Transporte,25000.00,camioneta
suv,Transporte,23000.00,suv
motorcycle,Transporte,8000.00,motorcycle
moto,Transporte,7000.00,moto
servicio de grúa,Transporte,1000.00,servicio de grua
grua,Transporte,800.00,grua
avion,Transporte,5000.00,avion
viaje en avion,Transporte,4500.00,viaje en avion
pago de avion,Transporte,4800.00,pago de avion
boleto de avion,Transporte,4200.00,boleto de avion
boletos de avion,Transporte,4600.00,boletos de avion
vuelo,Transporte,3800.00,vuelo
pago de vuelo,Transporte,4000.00,pago de vuelo
vuelo de avion,Transporte,3900.00,vuelo de avion
viaje,Transporte,2000.00,viaje
pago de viaje,Transporte,1800.00,pago de viaje
viaje en carretera,Transporte,1500.00,viaje en carretera
viaje familiar,Transporte,3000.00,viaje familiar
vacaciones,Transporte,2500.00,vacaciones
pago de vacaciones,Transporte,2800.00,pago de vacaciones
viaje de placer,Transporte,2200.00,viaje de placer
viaje de negocios,Transporte,3500.00,viaje de negocios
viaje internacional,Transporte,8000.00,viaje internacional
viaje nacional,Transporte,3000.00,viaje nacional
avioneta,Transporte,6000.00,avioneta
aeropuerto,Transporte,500.00,aeropuerto
transporte al aeropuerto,Transporte,800.00,transporte al aeropuerto
taxi al aeropuerto,Transporte,600.00,taxi al aeropuerto
uber al aeropuerto,Transporte,550.00,uber al aeropuerto
maleta,Transporte,300.00,maleta
equipaje de avion,Transporte,400.00,equipaje de avion
escalas de avion,Transporte,200.00,escalas de avion
conexion de vuelo,Transporte,100.00,conexion de vuelo
tarjeta de embarque,Transporte,50.00,tarjeta de embarque
abordaje de avion,Transporte,80.00,abordaje de avion
servicio de avion,Transporte,150.00,servicio de avion
avion privado,Transporte,10000.00,avion privado
helicoptero,Transporte,8000.00,helicoptero
viaje en helicoptero,Transporte,7500.00,viaje en helicoptero
crucero,Transporte,6000.00,crucero
viaje en crucero,Transporte,6500.00,viaje en crucero
tren,Transporte,1200.00,tren
viaje en tren,Transporte,1000.00,viaje en tren
pago de tren,Transporte,1100.00,pago de tren
autobus,Transporte,800.00,autobus
viaje en autobus,Transporte,700.00,viaje en autobus
pago de autobus,Transporte,750.00,pago de autobus
camion,Transporte,600.00,camion
viaje en camion,Transporte,550.00,viaje en camion
pago de camion,Transporte,500.00,pago de camion
microbus,Transporte,400.00,microbus
viaje en microbus,Transporte,350.00,viaje en microbus
taxi,Transporte,300.00,taxi
viaje en taxi,Transporte,280.00,viaje en taxi
pago de taxi,Transporte,250.00,pago de taxi
uber,Transporte,200.00,uber
viaje en uber,Transporte,180.00,viaje en uber
pago de uber,Transporte,220.00,pago de uber
didi,Transporte,190.00,didi
viaje en didi,Transporte,170.00,viaje en didi
pago de didi,Transporte,210.00,pago de didi
inDriver,Transporte,180.00,indriver
viaje en inDriver,Transporte,160.00,viaje en indriver
pago de inDriver,Transporte,200.00,pago de indriver
compra RTP,Transporte,256.22,compra rtp
rtp,Transporte,240.39,rtp
pago RTP,Transporte,317.99,pago rtp
pago RTP,Transporte,177.8,pago rtp
RTP,Transporte,277.89,rtp
*ECOBICI*,Transporte,81.46,ecobici
$ECOBICI,Transporte,354.88,ecobici
ecobici,Transporte,107.3,ecobici
COMPRA EN ECOBICI,Transporte,217.6,compra en ecobici
ECOBICI,Transporte,267.31,ecobici
pago taxi,Transporte,308.93,pago taxi
TAXI,Transporte,39.62,taxi
Taxi,Transporte,185.64,taxi
$taxi,Transporte,62.58,taxi
compra taxi,Transporte,276.52,compra taxi
pago caseta,Transporte,81.8,pago caseta
pago con tarjeta en caseta,Transporte,64.3,pago con tarjeta en caseta
pago con tarjeta en caseta,Transporte,350.14,pago con tarjeta en caseta
COMPRA EN CASETA,Transporte,439.32,compra en caseta
compra caseta,Transporte,152.9,compra caseta
compra peaje,Transporte,60.57,compra peaje
PEAJE,Transporte,108.57,peaje
COMPRA EN PEAJE,Transporte,252.57,compra en peaje
*peaje*,Transporte,275.01,peaje
pago peaje,Transporte,378.79,pago peaje
pago de pasaje,Transporte,50.00,pago de pasaje
COMPRA EN COMBUSTIBLE,Transporte,83.9,compra en combustible
COMBUSTIBLE,Transporte,449.7,combustible
pago combustible,Transporte,234.76,pago combustible
COMBUSTIBLE,Transporte,210.64,combustible
pago con tarjeta en combustible,Transporte,373.95,pago con tarjeta en combustible
*estacionamiento*,Transporte,174.6,estacionamiento
*estacionamiento*,Transporte,62.82,estacionamiento
pago con tarjeta en estacionamiento,Transporte,447.45,pago con tarjeta en estacionamiento
estacionamiento,Transporte,247.51,estacionamiento
ESTACIONAMIENTO,Transporte,331.43,estacionamiento
pago valet parking,Transporte,61.72,pago valet parking
$valet parking,Transporte,301.68,valet parking
COMPRA EN VALET PARKING,Transporte,301.54,compra en valet parking
VALET PARKING,Transporte,201.81,valet parking
Valet Parking,Transporte,194.28,valet parking
pago autopista,Transporte,137.29,pago autopista
$autopista,Transporte,310.77,autopista
compra autopista,Transporte,23.62,compra autopista
Autopista,Transporte,93.37,autopista
*autopista*,Transporte,254.15,autopista
COMPRA EN TREN SUBURBANO,Transporte,450.45,compra en tren suburbano
*Tren Suburbano*,Transporte,44.79,tren suburbano
COMPRA EN TREN SUBURBANO,Transporte,354.54,compra en tren suburbano
COMPRA EN TREN SUBURBANO,Transporte,73.78,compra en tren suburbano
pago Tren Suburbano,Transporte,296.48,pago tren suburbano
metro,Transporte,22.54,metro
$metro,Transporte,143.79,metro
COMPRA EN METRO,Transporte,366.99,compra en metro
pago con tarjeta en metro,Transporte,364.86,pago con tarjeta en metro
COMPRA EN METRO,Transporte,248.78,compra en metro
Camion,Transporte,109.78,camion
$camion,Transporte,361.26,camion
camion,Transporte,263.65,camion
compra camion,Transporte,274.32,compra camion
compra camion,Transporte,313.1,compra camion
$combi,Transporte,298.99,combi
combi,Transporte,173.91,combi
COMBI,Transporte,44.88,combi
pago combi,Transporte,238.05,pago combi
Combi,Transporte,50.42,combi
pago pesero,Transporte,174.73,pago pesero
pago pesero,Transporte,62.18,pago pesero
Pesero,Transporte,21.3,pesero
pago con tarjeta en pesero,Transporte,305.91,pago con tarjeta en pesero
COMPRA EN PESERO,Transporte,310.93,compra en pesero
MOTOTAXI,Transporte,187.46,mototaxi
compra mototaxi,Transporte,428.35,compra mototaxi
pago mototaxi,Transporte,79.66,pago mototaxi
COMPRA EN MOTOTAXI,Transporte,495.65,compra en mototaxi
pago mototaxi,Transporte,106.99,pago mototaxi
CABIFY,Transporte,464.7,cabify
$Cabify,Transporte,43.09,cabify
COMPRA EN CABIFY,Transporte,417.41,compra en cabify
Cabify,Transporte,116.78,cabify
CABIFY,Transporte,98.85,cabify
Indrive,Transporte,133.13,indrive
indrive,Transporte,171.77,indrive
pago con tarjeta en Indrive,Transporte,347.83,pago con tarjeta en indrive
COMPRA EN INDRIVE,Transporte,230.78,compra en indrive
INDRIVE,Transporte,319.57,indrive
compra Pemex,Transporte,378.85,compra pemex
compra Pemex,Transporte,131.46,compra pemex
compra Pemex,Transporte,207.91,compra pemex
pago Pemex,Transporte,280.91,pago pemex
COMPRA EN PEMEX,Transporte,129.93,compra en pemex
*BP*,Transporte,76.11,bp
$BP,Transporte,179.75,bp
BP,Transporte,180.75,bp
