descripcion,categoria,monto
pago con tarjeta en quesadilla,Alimentación,663.51
pago con tarjeta en tacos,Alimentación,278.59
$tacos,Alimentación,433.06
pago con tarjeta en tacos,Alimentación,413.62
compra tacos,Alimentación,139.9
COMPRA EN TACOS,Alimentación,757.18
$mariscos,Alimentación,214.07
COMPRA EN MARISCOS,Alimentación,577.26
compra mariscos,Alimentación,98.67
mariscos,Alimentación,235.16
*mariscos*,Alimentación,422.94
compra OXXO,Alimentación,161.07
COMPRA EN OXXO,Alimentación,77.67
compra OXXO,Alimentación,782.46
$OXXO,Alimentación,74.79
compra OXXO,Alimentación,525.76
pago 7-Eleven,Alimentación,448.2
$7-Eleven,Alimentación,231.54
7-eleven,Alimentación,110.64
COMPRA EN 7-ELEVEN,Alimentación,228.23
$7-Eleven,Alimentación,325.84
abarrotes,Alimentación,787.57
$abarrotes,Alimentación,451.83
compra abarrotes,Alimentación,163.04
$abarrotes,Alimentación,571.86
ABARROTES,Alimentación,493.17
mercado,Alimentación,62.44
MERCADO,Alimentación,657.13
mercado,Alimentación,533.88
mercado,Alimentación,755.39
COMPRA EN MERCADO,Alimentación,340.05
pago tiendita,Alimentación,678.28
pago con tarjeta en tiendita,Alimentación,135.11
*tiendita*,Alimentación,456.09
TIENDITA,Alimentación,221.41
pago con tarjeta en tiendita,Alimentación,437.48
compra comida corrida,Alimentación,231.39
Comida Corrida,Alimentación,725.31
*comida corrida*,Alimentación,304.27
COMIDA CORRIDA,Alimentación,575.27
COMIDA CORRIDA,Alimentación,692.24
$loncheria,Alimentación,634.91
COMPRA EN LONCHERIA,Alimentación,688.2
compra loncheria,Alimentación,171.22
$loncheria,Alimentación,551.74
LONCHERIA,Alimentación,329.21
pago con tarjeta en neveria,Alimentación,547.63
pago neveria,Alimentación,170.61
pago neveria,Alimentación,414.21
NEVERIA,Alimentación,538.97
pago con tarjeta en neveria,Alimentación,181.94
jugueria,Alimentación,227.94
Jugueria,Alimentación,184.12
COMPRA EN JUGUERIA,Alimentación,537.22
*jugueria*,Alimentación,590.7
compra jugueria,Alimentación,456.91
COSTCO,Alimentación,527.25
$Costco,Alimentación,232.99
$Costco,Alimentación,784.17
COSTCO,Alimentación,719.03
pago Costco,Alimentación,312.56
compra Sams Club,Alimentación,482.68
compra Sams Club,Alimentación,196.43
SAMS CLUB,Alimentación,479.0
compra Sams Club,Alimentación,82.7
Sams Club,Alimentación,712.62
pago con tarjeta en City Market,Alimentación,764.8
compra City Market,Alimentación,464.57
CITY MARKET,Alimentación,785.25
city market,Alimentación,270.84
City Market,Alimentación,193.18
compra Fresko,Alimentación,287.69
pago Fresko,Alimentación,467.6
$Fresko,Alimentación,572.02
COMPRA EN FRESKO,Alimentación,102.81
pago Fresko,Alimentación,511.26
$Starbucks,Alimentación,318.99
pago Starbucks,Alimentación,291.91
COMPRA EN STARBUCKS,Alimentación,572.76
$Starbucks,Alimentación,319.62
*Starbucks*,Alimentación,364.84
pago McDonalds,Alimentación,700.3
*McDonalds*,Alimentación,426.14
mcdonalds,Alimentación,537.47
MCDONALDS,Alimentación,303.5
pago McDonalds,Alimentación,120.49
*Burger King*,Alimentación,554.02
BURGER KING,Alimentación,399.2
$Burger King,Alimentación,493.12
$Burger King,Alimentación,237.69
$Burger King,Alimentación,277.45
Kfc,Alimentación,441.68
Kfc,Alimentación,253.66
Kfc,Alimentación,392.95
$KFC,Alimentación,88.76
kfc,Alimentación,358.52
DOMINO'S,Alimentación,528.07
domino's,Alimentación,149.56
pago Domino's,Alimentación,437.23
DOMINO'S,Alimentación,646.39
DOMINO'S,Alimentación,379.23
*Little Caesars*,Alimentación,238.15
Little Caesars,Alimentación,110.65
pago con tarjeta en Little Caesars,Alimentación,566.37
compra Little Caesars,Alimentación,179.97
compra Little Caesars,Alimentación,381.76
$Uber Eats,Alimentación,585.95
COMPRA EN UBER EATS,Alimentación,750.96
compra Uber Eats,Alimentación,766.15
*Uber Eats*,Alimentación,542.83
Uber Eats,Alimentación,508.79
*Rappi*,Alimentación,85.79
RAPPI,Alimentación,618.38
pago con tarjeta en Rappi,Alimentación,306.41
Rappi,Alimentación,120.62
rappi,Alimentación,181.5
Didi Food,Alimentación,405.1
compra Didi Food,Alimentación,398.51
Didi Food,Alimentación,348.88
$Didi Food,Alimentación,526.32
pago Didi Food,Alimentación,245.67
PIZZERIA,Alimentación,427.35
compra pizzeria,Alimentación,454.53
pizzeria,Alimentación,511.89
*pizzeria*,Alimentación,758.19
pizzeria,Alimentación,481.61
pago cafeteria,Alimentación,480.03
compra cafeteria,Alimentación,393.69
CAFETERIA,Alimentación,665.48
CAFETERIA,Alimentación,665.32
COMPRA EN CAFETERIA,Alimentación,729.01
pago taqueria,Alimentación,79.22
pago taqueria,Alimentación,562.26
compra taqueria,Alimentación,541.79
pago taqueria,Alimentación,245.52
*taqueria*,Alimentación,138.62
Pasteleria,Alimentación,311.25
COMPRA EN PASTELERIA,Alimentación,601.3
Pasteleria,Alimentación,775.69
pasteleria,Alimentación,183.08
pago con tarjeta en pasteleria,Alimentación,476.39
POLLO FELIZ,Alimentación,792.88
pollo feliz,Alimentación,329.01
*Pollo Feliz*,Alimentación,485.41
*Pollo Feliz*,Alimentación,748.07
Pollo Feliz,Alimentación,228.95
*El Globo*,Alimentación,613.15
pago con tarjeta en El Globo,Alimentación,228.68
compra El Globo,Alimentación,450.75
el globo,Alimentación,669.84
$El Globo,Alimentación,273.23
NUTRISA,Alimentación,341.9
pago con tarjeta en Nutrisa,Alimentación,685.36
pago con tarjeta en Nutrisa,Alimentación,289.49
nutrisa,Alimentación,480.08
Nutrisa,Alimentación,118.78
pago con tarjeta en Cinnabon,Alimentación,465.28
Cinnabon,Alimentación,614.28
*Cinnabon*,Alimentación,635.97
*Cinnabon*,Alimentación,118.4
*Cinnabon*,Alimentación,796.95
Krispy Kreme,Alimentación,602.78
pago Krispy Kreme,Alimentación,776.49
pago con tarjeta en Krispy Kreme,Alimentación,621.13
compra Krispy Kreme,Alimentación,125.84
*Krispy Kreme*,Alimentación,369.57
COMPRA EN TAMALES,Alimentación,104.57
pago tamales,Alimentación,718.92
pago tamales,Alimentación,111.01
Tamales,Alimentación,224.92
COMPRA EN TAMALES,Alimentación,330.7
compra carnitas,Alimentación,710.27
compra carnitas,Alimentación,760.44
pago con tarjeta en carnitas,Alimentación,493.92
carnitas,Alimentación,332.19
CARNITAS,Alimentación,632.86
$pasticceria,Alimentación,578.81
PASTICCERIA,Alimentación,133.4
PASTICCERIA,Alimentación,240.26
pago pasticceria,Alimentación,401.5
pasticceria,Alimentación,139.11
pago con tarjeta en alitas,Alimentación,608.16
ALITAS,Alimentación,487.53
pago con tarjeta en alitas,Alimentación,331.15
compra alitas,Alimentación,112.17
compra alitas,Alimentación,217.7
$sushi,Alimentación,651.58
Sushi,Alimentación,82.55
Sushi,Alimentación,794.72
Sushi,Alimentación,239.74
SUSHI,Alimentación,776.98
pago buffet,Alimentación,174.66
compra buffet,Alimentación,571.81
compra buffet,Alimentación,520.67
$buffet,Alimentación,338.15
*buffet*,Alimentación,84.08
COMPRA EN MISCELANEA,Alimentación,345.89
COMPRA EN MISCELANEA,Alimentación,515.1
COMPRA EN MISCELANEA,Alimentación,177.26
miscelanea,Alimentación,397.77
pago miscelanea,Alimentación,249.45
Deposito,Alimentación,780.8
$deposito,Alimentación,74.24
pago con tarjeta en deposito,Alimentación,282.15
deposito,Alimentación,502.09
DEPOSITO,Alimentación,666.9
pago tienda de conveniencia,Alimentación,362.48
Tienda De Conveniencia,Alimentación,510.06
pago tienda de conveniencia,Alimentación,112.06
pago tienda de conveniencia,Alimentación,463.69
Tienda De Conveniencia,Alimentación,69.78
compra Uber,Transporte,393.25
pago Uber,Transporte,493.89
compra Uber,Transporte,200.83
pago con tarjeta en Uber,Transporte,485.56
compra Uber,Transporte,422.4
pago Did,Transporte,37.67
compra Did,Transporte,26.56
*Did*,Transporte,435.07
compra Did,Transporte,276.49
Did,Transporte,498.39
Gasolina,Transporte,300.87
Gasolina,Transporte,473.49
GASOLINA,Transporte,138.73
pago con tarjeta en gasolina,Transporte,82.0
GASOLINA,Transporte,151.87
magna,Transporte,129.75
compra Magna,Transporte,383.36
pago Magna,Transporte,191.92
COMPRA EN MAGNA,Transporte,30.65
pago Magna,Transporte,248.58
PREMIUM,Transporte,269.68
compra Premium,Transporte,284.92
Premium,Transporte,62.44
pago con tarjeta en Premium,Transporte,303.18
*Premium*,Transporte,382.47
Diesel,Transporte,326.89
DIESEL,Transporte,453.51
pago Diesel,Transporte,188.28
pago Diesel,Transporte,325.59
DIESEL,Transporte,454.0
metrobus,Transporte,282.77
compra Metrobus,Transporte,396.15
*Metrobus*,Transporte,271.33
compra Metrobus,Transporte,475.77
metrobus,Transporte,240.49
compra RTP,Transporte,256.22
rtp,Transporte,240.39
pago RTP,Transporte,317.99
pago RTP,Transporte,177.8
RTP,Transporte,277.89
*ECOBICI*,Transporte,81.46
$ECOBICI,Transporte,354.88
ecobici,Transporte,107.3
COMPRA EN ECOBICI,Transporte,217.6
ECOBICI,Transporte,267.31
pago taxi,Transporte,308.93
TAXI,Transporte,39.62
Taxi,Transporte,185.64
$taxi,Transporte,62.58
compra taxi,Transporte,276.52
pago caseta,Transporte,81.8
pago con tarjeta en caseta,Transporte,64.3
pago con tarjeta en caseta,Transporte,350.14
COMPRA EN CASETA,Transporte,439.32
compra caseta,Transporte,152.9
compra peaje,Transporte,60.57
PEAJE,Transporte,108.57
COMPRA EN PEAJE,Transporte,252.57
*peaje*,Transporte,275.01
pago peaje,Transporte,378.79
COMPRA EN COMBUSTIBLE,Transporte,83.9
COMBUSTIBLE,Transporte,449.7
pago combustible,Transporte,234.76
COMBUSTIBLE,Transporte,210.64
pago con tarjeta en combustible,Transporte,373.95
*estacionamiento*,Transporte,174.6
*estacionamiento*,Transporte,62.82
pago con tarjeta en estacionamiento,Transporte,447.45
estacionamiento,Transporte,247.51
ESTACIONAMIENTO,Transporte,331.43
pago valet parking,Transporte,61.72
$valet parking,Transporte,301.68
COMPRA EN VALET PARKING,Transporte,301.54
VALET PARKING,Transporte,201.81
Valet Parking,Transporte,194.28
pago autopista,Transporte,137.29
$autopista,Transporte,310.77
compra autopista,Transporte,23.62
Autopista,Transporte,93.37
*autopista*,Transporte,254.15
COMPRA EN TREN SUBURBANO,Transporte,450.45
*Tren Suburbano*,Transporte,44.79
COMPRA EN TREN SUBURBANO,Transporte,354.54
COMPRA EN TREN SUBURBANO,Transporte,73.78
pago Tren Suburbano,Transporte,296.48
metro,Transporte,22.54
$metro,Transporte,143.79
COMPRA EN METRO,Transporte,366.99
pago con tarjeta en metro,Transporte,364.86
COMPRA EN METRO,Transporte,248.78
Camion,Transporte,109.78
$camion,Transporte,361.26
camion,Transporte,263.65
compra camion,Transporte,274.32
compra camion,Transporte,313.1
$combi,Transporte,298.99
combi,Transporte,173.91
COMBI,Transporte,44.88
pago combi,Transporte,238.05
Combi,Transporte,50.42
pago pesero,Transporte,174.73
pago pesero,Transporte,62.18
Pesero,Transporte,21.3
pago con tarjeta en pesero,Transporte,305.91
COMPRA EN PESERO,Transporte,310.93
MOTOTAXI,Transporte,187.46
compra mototaxi,Transporte,428.35
pago mototaxi,Transporte,79.66
COMPRA EN MOTOTAXI,Transporte,495.65
pago mototaxi,Transporte,106.99
CABIFY,Transporte,464.7
$Cabify,Transporte,43.09
COMPRA EN CABIFY,Transporte,417.41
Cabify,Transporte,116.78
CABIFY,Transporte,98.85
Indrive,Transporte,133.13
indrive,Transporte,171.77
pago con tarjeta en Indrive,Transporte,347.83
COMPRA EN INDRIVE,Transporte,230.78
INDRIVE,Transporte,319.57
compra Pemex,Transporte,378.85
compra Pemex,Transporte,131.46
compra Pemex,Transporte,207.91
pago Pemex,Transporte,280.91
COMPRA EN PEMEX,Transporte,129.93
*BP*,Transporte,76.11
$BP,Transporte,179.75
BP,Transporte,180.75
bp,Transporte,401.13
compra BP,Transporte,276.06
*Shell*,Transporte,295.11
$Shell,Transporte,381.15
Shell,Transporte,393.71
compra Shell,Transporte,36.1
$Shell,Transporte,362.75
Mobil,Transporte,440.85
compra Mobil,Transporte,69.4
mobil,Transporte,239.36
mobil,Transporte,210.7
COMPRA EN MOBIL,Transporte,91.96
g500,Transporte,366.68
pago G500,Transporte,25.86
G500,Transporte,353.1
g500,Transporte,363.77
G500,Transporte,416.86
COMPRA EN TOTALENERGIES,Transporte,300.03
COMPRA EN TOTALENERGIES,Transporte,223.33
COMPRA EN TOTALENERGIES,Transporte,262.83
pago con tarjeta en TotalEnergies,Transporte,142.89
COMPRA EN TOTALENERGIES,Transporte,438.62
tag pase,Transporte,461.0
Tag Pase,Transporte,462.8
COMPRA EN TAG PASE,Transporte,332.66
compra TAG Pase,Transporte,296.62
pago con tarjeta en TAG Pase,Transporte,223.58
COMPRA EN URBANO,Transporte,423.41
*Urbano*,Transporte,78.95
Urbano,Transporte,492.72
urbano,Transporte,79.84
pago con tarjeta en Urbano,Transporte,179.43
$Mexibus,Transporte,269.04
COMPRA EN MEXIBUS,Transporte,311.79
pago con tarjeta en Mexibus,Transporte,377.24
mexibus,Transporte,398.14
pago con tarjeta en Mexibus,Transporte,74.85
cablebus,Transporte,277.95
$Cablebus,Transporte,186.25
pago Cablebus,Transporte,250.8
compra Cablebus,Transporte,301.79
CABLEBUS,Transporte,139.15
pago con tarjeta en Tren Ligero,Transporte,259.22
$Tren Ligero,Transporte,36.26
compra Tren Ligero,Transporte,193.95
$Tren Ligero,Transporte,125.65
pago Tren Ligero,Transporte,338.5
*verificacion*,Transporte,488.26
pago con tarjeta en verificacion,Transporte,91.36
$verificacion,Transporte,433.1
COMPRA EN VERIFICACION,Transporte,261.05
compra verificacion,Transporte,168.77
*tenencia*,Transporte,224.86
COMPRA EN TENENCIA,Transporte,451.07
compra tenencia,Transporte,37.54
COMPRA EN TENENCIA,Transporte,301.98
compra tenencia,Transporte,392.25
pago refrendo,Transporte,271.71
compra refrendo,Transporte,212.37
$refrendo,Transporte,387.37
refrendo,Transporte,107.33
*refrendo*,Transporte,474.14
TALLER MECANICO,Transporte,329.12
compra taller mecanico,Transporte,32.19
pago taller mecanico,Transporte,436.16
COMPRA EN TALLER MECANICO,Transporte,33.01
*taller mecanico*,Transporte,141.87
*refaccionaria*,Transporte,342.51
COMPRA EN REFACCIONARIA,Transporte,69.97
Refaccionaria,Transporte,105.7
compra refaccionaria,Transporte,287.23
COMPRA EN REFACCIONARIA,Transporte,67.73
COMPRA EN AUTOZONE,Transporte,366.69
COMPRA EN AUTOZONE,Transporte,407.29
autozone,Transporte,473.32
$Autozone,Transporte,118.39
*Autozone*,Transporte,450.24
*llanteria*,Transporte,323.96
compra llanteria,Transporte,119.79
LLANTERIA,Transporte,78.93
LLANTERIA,Transporte,299.86
pago llanteria,Transporte,448.48
Vulcanizadora,Transporte,184.07
pago vulcanizadora,Transporte,194.27
*vulcanizadora*,Transporte,148.67
Vulcanizadora,Transporte,185.69
pago con tarjeta en vulcanizadora,Transporte,229.34
ALINEACION Y BALANCEO,Transporte,475.26
$alineacion y balanceo,Transporte,394.28
compra alineacion y balanceo,Transporte,436.86
COMPRA EN ALINEACION Y BALANCEO,Transporte,492.98
*alineacion y balanceo*,Transporte,403.93
compra autolavado,Transporte,252.69
compra autolavado,Transporte,148.97
COMPRA EN AUTOLAVADO,Transporte,355.45
pago con tarjeta en autolavado,Transporte,143.79
$autolavado,Transporte,329.63
car wash,Transporte,83.49
pago car wash,Transporte,150.71
$car wash,Transporte,458.86
Car Wash,Transporte,411.23
pago con tarjeta en car wash,Transporte,151.55
compra boletos de autobus,Transporte,214.52
$boletos de autobus,Transporte,418.28
*boletos de autobus*,Transporte,71.16
$boletos de autobus,Transporte,85.71
pago con tarjeta en boletos de autobus,Transporte,147.92
COMPRA EN ADO,Transporte,140.35
pago con tarjeta en ADO,Transporte,257.25
compra ADO,Transporte,221.01
pago ADO,Transporte,99.82
compra ADO,Transporte,59.74
etn,Transporte,390.07
Etn,Transporte,421.8
etn,Transporte,365.14
*ETN*,Transporte,312.99
$ETN,Transporte,248.5
COMPRA EN PRIMERA PLUS,Transporte,469.68
Primera Plus,Transporte,252.2
primera plus,Transporte,279.12
PRIMERA PLUS,Transporte,305.64
compra Primera Plus,Transporte,258.26
pago vuelo,Transporte,319.2
pago vuelo,Transporte,71.17
pago con tarjeta en vuelo,Transporte,188.74
compra vuelo,Transporte,257.84
COMPRA EN VUELO,Transporte,228.72
*Aeromexico*,Transporte,56.45
pago Aeromexico,Transporte,403.72
AEROMEXICO,Transporte,150.63
pago Aeromexico,Transporte,69.48
Aeromexico,Transporte,63.96
compra Volaris,Transporte,85.67
pago con tarjeta en Volaris,Transporte,234.08
COMPRA EN VOLARIS,Transporte,384.03
Volaris,Transporte,384.34
Volaris,Transporte,352.29
$VivaAerobus,Transporte,490.68
pago VivaAerobus,Transporte,254.92
pago con tarjeta en VivaAerobus,Transporte,473.15
*VivaAerobus*,Transporte,499.69
Vivaaerobus,Transporte,247.14
*farmacia*,Salud,147.52
Farmacia,Salud,1123.43
FARMACIA,Salud,1394.15
pago farmacia,Salud,690.47
pago farmacia,Salud,1143.09
doctor,Salud,1282.37
pago doctor,Salud,831.41
*doctor*,Salud,151.81
COMPRA EN DOCTOR,Salud,422.01
pago doctor,Salud,1339.0
COMPRA EN DENTISTA,Salud,717.45
*dentista*,Salud,191.5
COMPRA EN DENTISTA,Salud,855.29
$dentista,Salud,546.25
pago dentista,Salud,828.24
pago hospital,Salud,134.16
pago hospital,Salud,129.78
*hospital*,Salud,359.66
pago hospital,Salud,1414.69
HOSPITAL,Salud,198.04
clinica,Salud,173.76
compra clinica,Salud,662.7
Clinica,Salud,771.69
COMPRA EN CLINICA,Salud,480.36
pago con tarjeta en clinica,Salud,1175.58
pago con tarjeta en seguro,Salud,570.92
seguro,Salud,1132.62
compra seguro,Salud,254.66
COMPRA EN SEGURO,Salud,502.13
seguro,Salud,1101.77
Medicamento,Salud,158.93
compra medicamento,Salud,1374.47
pago con tarjeta en medicamento,Salud,253.25
pago con tarjeta en medicamento,Salud,1051.51
Medicamento,Salud,1200.88
$receta,Salud,1475.26
COMPRA EN RECETA,Salud,754.36
pago receta,Salud,333.85
receta,Salud,190.98
COMPRA EN RECETA,Salud,1419.82
$análisis,Salud,950.83
pago análisis,Salud,637.73
pago con tarjeta en análisis,Salud,361.01
ANÁLISIS,Salud,1256.69
Análisis,Salud,180.98
*rayos x*,Salud,1337.3
RAYOS X,Salud,936.18
compra rayos x,Salud,343.45
RAYOS X,Salud,1161.53
compra rayos x,Salud,315.45
VACUNA,Salud,414.22
COMPRA EN VACUNA,Salud,1147.02
pago con tarjeta en vacuna,Salud,930.12
Vacuna,Salud,228.08
pago con tarjeta en vacuna,Salud,647.64
pago con tarjeta en psicologo,Salud,162.13
pago psicologo,Salud,1306.98
pago con tarjeta en psicologo,Salud,560.67
pago con tarjeta en psicologo,Salud,871.2
pago psicologo,Salud,671.83
$nutriologo,Salud,463.66
Nutriologo,Salud,168.3
pago nutriologo,Salud,213.46
Nutriologo,Salud,1488.07
pago nutriologo,Salud,793.21
FISIOTERAPIA,Salud,1254.55
COMPRA EN FISIOTERAPIA,Salud,1026.96
COMPRA EN FISIOTERAPIA,Salud,892.02
compra fisioterapia,Salud,1330.08
FISIOTERAPIA,Salud,1315.43
compra optometria,Salud,320.28
pago con tarjeta en optometria,Salud,567.61
pago con tarjeta en optometria,Salud,1402.13
optometria,Salud,966.06
$optometria,Salud,364.91
Audiologia,Salud,1333.22
pago con tarjeta en audiologia,Salud,140.95
*audiologia*,Salud,107.2
Audiologia,Salud,1140.91
pago audiologia,Salud,1245.15
*cardiologia*,Salud,370.39
compra cardiologia,Salud,883.78
COMPRA EN CARDIOLOGIA,Salud,463.73
COMPRA EN CARDIOLOGIA,Salud,1246.15
$cardiologia,Salud,496.68
*pediatra*,Salud,857.77
pago pediatra,Salud,578.62
Pediatra,Salud,243.51
pediatra,Salud,343.25
pediatra,Salud,194.97
compra ginecologo,Salud,1179.38
compra ginecologo,Salud,915.04
compra ginecologo,Salud,181.09
COMPRA EN GINECOLOGO,Salud,164.04
pago ginecologo,Salud,1486.21
traumatologo,Salud,1006.6
traumatologo,Salud,1161.57
*traumatologo*,Salud,191.88
compra traumatologo,Salud,553.05
TRAUMATOLOGO,Salud,453.51
*Farmacias del Ahorro*,Salud,724.26
pago Farmacias del Ahorro,Salud,1495.97
compra Farmacias del Ahorro,Salud,243.07
pago con tarjeta en Farmacias del Ahorro,Salud,329.07
*Farmacias del Ahorro*,Salud,1256.29
farmacias similares,Salud,1275.93
farmacias similares,Salud,1016.32
FARMACIAS SIMILARES,Salud,1431.21
COMPRA EN FARMACIAS SIMILARES,Salud,705.27
Farmacias Similares,Salud,1373.33
Farmacias San Pablo,Salud,993.94
$Farmacias San Pablo,Salud,1164.13
Farmacias San Pablo,Salud,1477.57
compra Farmacias San Pablo,Salud,549.04
$Farmacias San Pablo,Salud,421.94
FARMACIAS GUADALAJARA,Salud,143.59
pago con tarjeta en Farmacias Guadalajara,Salud,1100.89
pago Farmacias Guadalajara,Salud,1310.1
COMPRA EN FARMACIAS GUADALAJARA,Salud,322.94
pago con tarjeta en Farmacias Guadalajara,Salud,1316.07
Farmacias Benavides,Salud,315.12
pago Farmacias Benavides,Salud,1165.43
FARMACIAS BENAVIDES,Salud,1215.52
Farmacias Benavides,Salud,1376.57
FARMACIAS BENAVIDES,Salud,359.64
pago con tarjeta en Laboratorios Chopo,Salud,101.72
*Laboratorios Chopo*,Salud,275.26
laboratorios chopo,Salud,702.43
$Laboratorios Chopo,Salud,415.76
$Laboratorios Chopo,Salud,914.76
Salud Digna,Salud,926.37
COMPRA EN SALUD DIGNA,Salud,534.51
compra Salud Digna,Salud,116.27
pago Salud Digna,Salud,1052.64
pago Salud Digna,Salud,771.91
$Laboratorios del Chopo,Salud,508.33
pago con tarjeta en Laboratorios del Chopo,Salud,1304.17
$Laboratorios del Chopo,Salud,1370.95
$Laboratorios del Chopo,Salud,1148.83
pago con tarjeta en Laboratorios del Chopo,Salud,438.86
pago con tarjeta en consulta medica,Salud,899.27
$consulta medica,Salud,965.42
consulta medica,Salud,584.42
COMPRA EN CONSULTA MEDICA,Salud,113.68
compra consulta medica,Salud,824.8
compra oftalmologo,Salud,1335.55
compra oftalmologo,Salud,1254.32
$oftalmologo,Salud,550.93
$oftalmologo,Salud,894.56
pago oftalmologo,Salud,1250.02
*dermatologo*,Salud,1038.54
COMPRA EN DERMATOLOGO,Salud,991.0
DERMATOLOGO,Salud,1354.71
pago con tarjeta en dermatologo,Salud,1410.7
*dermatologo*,Salud,958.12
pago con tarjeta en analisis clinicos,Salud,1092.68
COMPRA EN ANALISIS CLINICOS,Salud,1426.29
analisis clinicos,Salud,575.23
*analisis clinicos*,Salud,1025.15
analisis clinicos,Salud,936.47
$estudios medicos,Salud,733.25
ESTUDIOS MEDICOS,Salud,157.06
pago estudios medicos,Salud,184.49
*estudios medicos*,Salud,1010.41
pago con tarjeta en estudios medicos,Salud,1320.5
ULTRASONIDO,Salud,1466.21
ultrasonido,Salud,1141.99
*ultrasonido*,Salud,707.12
ULTRASONIDO,Salud,326.34
$ultrasonido,Salud,1106.88
$resonancia,Salud,565.24
COMPRA EN RESONANCIA,Salud,1464.71
RESONANCIA,Salud,214.14
RESONANCIA,Salud,1052.32
$resonancia,Salud,142.91
compra curacion,Salud,1276.63
compra curacion,Salud,1315.58
COMPRA EN CURACION,Salud,695.69
curacion,Salud,1129.49
curacion,Salud,806.78
pago gasa,Salud,1313.84
pago con tarjeta en gasa,Salud,714.06
Gasa,Salud,653.72
gasa,Salud,1322.79
pago gasa,Salud,1210.14
*jeringas*,Salud,487.56
JERINGAS,Salud,497.4
JERINGAS,Salud,972.15
COMPRA EN JERINGAS,Salud,1270.4
compra jeringas,Salud,284.19
COMPRA EN TERMOMETRO,Salud,667.43
*termometro*,Salud,985.56
pago termometro,Salud,353.37
Termometro,Salud,196.79
pago con tarjeta en termometro,Salud,446.12
COMPRA EN APARATO ORTOPEDICO,Salud,911.18
aparato ortopedico,Salud,930.13
$aparato ortopedico,Salud,1012.97
pago con tarjeta en aparato ortopedico,Salud,1457.18
pago aparato ortopedico,Salud,1301.18
Lentes,Salud,555.27
COMPRA EN LENTES,Salud,938.2
lentes,Salud,1457.75
LENTES,Salud,718.83
pago con tarjeta en lentes,Salud,703.24
devlyn,Salud,923.04
compra Devlyn,Salud,453.54
$Devlyn,Salud,334.67
pago con tarjeta en Devlyn,Salud,947.75
Devlyn,Salud,846.92
compra Mas Vision,Salud,1281.84
COMPRA EN MAS VISION,Salud,919.5
$Mas Vision,Salud,388.18
mas vision,Salud,477.65
pago Mas Vision,Salud,272.16
Seguro De Gastos Medicos,Salud,1411.25
compra seguro de gastos medicos,Salud,270.95
$seguro de gastos medicos,Salud,352.01
Seguro De Gastos Medicos,Salud,244.63
SEGURO DE GASTOS MEDICOS,Salud,158.2
axa,Salud,1481.28
COMPRA EN AXA,Salud,1060.35
pago AXA,Salud,552.38
pago con tarjeta en AXA,Salud,912.16
COMPRA EN AXA,Salud,821.83
pago GNP,Salud,579.71
$GNP,Salud,295.51
